"from" "to" "from_module" "to_module" "effect" "strength" "cooperativity" "max_protein" "k"
"1" "A1_TF1" "B1_TF1" "A1" "B1" " 1" " 1.000000" "2.0000000" "162.57717" " 81.2885836"
"2" "A1_TF2" "B1_TF1" "A1" "B1" " 1" " 1.000000" "2.0000000" "172.34014" " 86.1700717"
"3" "A1_TF1" "B1_TF2" "A1" "B1" " 1" " 1.000000" "2.0000000" "162.57717" " 81.2885836"
"4" "A1_TF2" "B1_TF2" "A1" "B1" " 1" " 1.000000" "2.0000000" "172.34014" " 86.1700717"
"5" "A1_TF1" "B1_TF3" "A1" "B1" " 1" " 1.000000" "2.0000000" "162.57717" " 81.2885836"
"6" "A1_TF2" "B1_TF3" "A1" "B1" " 1" " 1.000000" "2.0000000" "172.34014" " 86.1700717"
"7" "A1_TF2" "B1_TF4" "A1" "B1" " 1" " 1.000000" "2.0000000" "172.34014" " 86.1700717"
"8" "A1_TF1" "B1_TF4" "A1" "B1" " 1" " 1.000000" "2.0000000" "162.57717" " 81.2885836"
"9" "A1_TF2" "B1_TF5" "A1" "B1" " 1" " 1.000000" "2.0000000" "172.34014" " 86.1700717"
"10" "A1_TF1" "B1_TF5" "A1" "B1" " 1" " 1.000000" "2.0000000" "162.57717" " 81.2885836"
"11" "A1_TF1" "B1_TF6" "A1" "B1" " 1" " 1.000000" "2.0000000" "162.57717" " 81.2885836"
"12" "A1_TF2" "B1_TF6" "A1" "B1" " 1" " 1.000000" "2.0000000" "172.34014" " 86.1700717"
"13" "A1_TF1" "B1_TF7" "A1" "B1" " 1" " 1.000000" "2.0000000" "162.57717" " 81.2885836"
"14" "A1_TF2" "B1_TF7" "A1" "B1" " 1" " 1.000000" "2.0000000" "172.34014" " 86.1700717"
"15" "B1_TF4" "B2_TF1" "B1" "B2" " 1" " 1.000000" "2.0000000" "196.64198" " 98.3209882"
"16" "B1_TF5" "B2_TF1" "B1" "B2" " 1" " 1.000000" "2.0000000" "327.65924" "163.8296194"
"17" "B1_TF3" "B2_TF2" "B1" "B2" " 1" " 1.000000" "2.0000000" "125.00523" " 62.5026170"
"18" "B1_TF4" "B2_TF2" "B1" "B2" " 1" " 1.000000" "2.0000000" "196.64198" " 98.3209882"
"19" "B2_TF2" "B3_TF1" "B2" "B3" " 1" " 1.000000" "2.0000000" "153.43176" " 76.7158786"
"20" "B2_TF1" "B3_TF1" "B2" "B3" " 1" " 1.000000" "2.0000000" "288.48247" "144.2412337"
"21" "B2_TF2" "B3_TF2" "B2" "B3" " 1" " 1.000000" "2.0000000" "153.43176" " 76.7158786"
"22" "B2_TF1" "B3_TF2" "B2" "B3" " 1" " 1.000000" "2.0000000" "288.48247" "144.2412337"
"23" "B2_TF1" "B3_TF3" "B2" "B3" " 1" " 1.000000" "2.0000000" "288.48247" "144.2412337"
"24" "B2_TF2" "B3_TF3" "B2" "B3" " 1" " 1.000000" "2.0000000" "153.43176" " 76.7158786"
"25" "B2_TF2" "B3_TF4" "B2" "B3" " 1" " 1.000000" "2.0000000" "153.43176" " 76.7158786"
"26" "B2_TF1" "B3_TF4" "B2" "B3" " 1" " 1.000000" "2.0000000" "288.48247" "144.2412337"
"27" "B2_TF2" "B3_TF5" "B2" "B3" " 1" " 1.000000" "2.0000000" "153.43176" " 76.7158786"
"28" "B2_TF1" "B3_TF5" "B2" "B3" " 1" " 1.000000" "2.0000000" "288.48247" "144.2412337"
"29" "B3_TF4" "B4_TF1" "B3" "B4" " 1" " 1.000000" "2.0000000" "185.84279" " 92.9213957"
"30" "B3_TF1" "B4_TF1" "B3" "B4" " 1" " 1.000000" "2.0000000" "365.04065" "182.5203232"
"31" "B3_TF5" "B4_TF2" "B3" "B4" " 1" " 1.000000" "2.0000000" "120.81813" " 60.4090664"
"32" "B3_TF4" "B4_TF2" "B3" "B4" " 1" " 1.000000" "2.0000000" "185.84279" " 92.9213957"
"33" "B3_TF2" "B4_TF3" "B3" "B4" " 1" " 1.000000" "2.0000000" "159.25236" " 79.6261813"
"34" "B3_TF5" "B4_TF3" "B3" "B4" " 1" " 1.000000" "2.0000000" "120.81813" " 60.4090664"
"35" "B3_TF2" "B4_TF4" "B3" "B4" " 1" " 1.000000" "2.0000000" "159.25236" " 79.6261813"
"36" "B3_TF4" "B4_TF4" "B3" "B4" " 1" " 1.000000" "2.0000000" "185.84279" " 92.9213957"
"37" "B3_TF5" "B4_TF5" "B3" "B4" " 1" " 1.000000" "2.0000000" "120.81813" " 60.4090664"
"38" "B3_TF1" "B4_TF5" "B3" "B4" " 1" " 1.000000" "2.0000000" "365.04065" "182.5203232"
