Regulator	Target
ESRRB	SOX2
SOX17	SOX2
NR0B1	SOX2
POU5F1	SOX2
NANOG	SOX2
MYCN	SOX2
KLF4	SOX2
SALL4	SOX2
SOX2	ESRRB
POU5F1	ESRRB
NANOG	ESRRB
JARID2	ESRRB
ID1	ESRRB
KLF4	ESRRB
RHOX6	ESRRB
REST	ESRRB
SOX2	UTF1
ESRRB	UTF1
NR0B1	UTF1
POU5F1	UTF1
NANOG	UTF1
JARID2	UTF1
KLF4	UTF1
SALL4	UTF1
SOX2	EPAS1
ESRRB	EPAS1
ZFP42	EPAS1
POU5F1	EPAS1
NANOG	EPAS1
JARID2	EPAS1
MSC	EPAS1
KLF4	EPAS1
SOX2	FOXQ1
JARID2	FOXQ1
KLF4	FOXQ1
SOX2	KLF2
ESRRB	KLF2
NR0B1	KLF2
POU5F1	KLF2
NANOG	KLF2
JARID2	KLF2
TBX3	KLF2
KLF4	KLF2
SALL4	KLF2
NANOG	GATA4
JARID2	GATA4
MYBL2	GATA4
KLF4	GATA4
SOX2	SOX17
ZFP42	SOX17
POU5F1	SOX17
NANOG	SOX17
JARID2	SOX17
MSC	SOX17
SMAD7	SOX17
KLF4	SOX17
SALL4	SOX17
SOX2	NR0B1
ESRRB	NR0B1
POU5F1	NR0B1
NANOG	NR0B1
JARID2	NR0B1
KLF4	NR0B1
SALL4	NR0B1
SOX2	ZFP42
ESRRB	ZFP42
SOX17	ZFP42
NR0B1	ZFP42
POU5F1	ZFP42
NANOG	ZFP42
JARID2	ZFP42
TBX3	ZFP42
KLF4	ZFP42
SALL4	ZFP42
SOX2	POU5F1
ESRRB	POU5F1
NR0B1	POU5F1
ZFP42	POU5F1
NANOG	POU5F1
JARID2	POU5F1
MSC	POU5F1
TBX3	POU5F1
KLF4	POU5F1
SALL4	POU5F1
SOX2	DNMT3A
ESRRB	DNMT3A
NR0B1	DNMT3A
POU5F1	DNMT3A
NANOG	DNMT3A
TBX3	DNMT3A
KLF4	DNMT3A
REST	DNMT3A
SOX2	TCF15
ESRRB	TCF15
NR0B1	TCF15
POU5F1	TCF15
NANOG	TCF15
MYCN	TCF15
KLF4	TCF15
SALL4	TCF15
SOX2	ELF3
ESRRB	ELF3
SOX17	ELF3
POU5F1	ELF3
NANOG	ELF3
JARID2	ELF3
KLF4	ELF3
SOX2	NANOG
ESRRB	NANOG
NR0B1	NANOG
POU5F1	NANOG
JARID2	NANOG
MYCN	NANOG
KLF4	NANOG
REST	NANOG
ESRRB	HMGA1
NR0B1	HMGA1
KLF4	HMGA1
SOX2	ETV5
ESRRB	ETV5
NR0B1	ETV5
ZFP42	ETV5
POU5F1	ETV5
NANOG	ETV5
JARID2	ETV5
KLF4	ETV5
SALL4	ETV5
SOX2	CREB3L2
ESRRB	CREB3L2
SOX17	CREB3L2
NANOG	CREB3L2
ESRRB	FOXH1
NR0B1	FOXH1
POU5F1	FOXH1
NANOG	FOXH1
JARID2	FOXH1
MYCN	FOXH1
KLF4	FOXH1
SALL4	FOXH1
MYCN	NFXL1
KLF4	NFXL1
SOX2	SOX7
ESRRB	SOX7
NR0B1	SOX7
POU5F1	SOX7
NANOG	SOX7
JARID2	SOX7
SALL4	SOX7
SOX2	TAX1BP3
ESRRB	TAX1BP3
POU5F1	TAX1BP3
NANOG	TAX1BP3
MYCN	TAX1BP3
KLF4	TAX1BP3
SALL4	TAX1BP3
POU5F1	TET1
JARID2	TET1
SOX2	JARID2
ESRRB	JARID2
SOX17	JARID2
NR0B1	JARID2
POU5F1	JARID2
NANOG	JARID2
TBX3	JARID2
KLF4	JARID2
SALL4	JARID2
SOX2	PEG3
TBX3	PEG3
SOX2	ID2
ESRRB	ID2
NR0B1	ID2
POU5F1	ID2
NANOG	ID2
MSC	ID2
ID1	ID2
TBX3	ID2
KLF4	ID2
TCF7L2	ID2
SALL4	ID2
ESRRB	RBPJ
POU5F1	RBPJ
KLF4	RBPJ
ESRRB	KDM5B
SOX2	EGR1
ESRRB	EGR1
POU5F1	EGR1
NANOG	EGR1
TBX3	EGR1
KLF4	EGR1
REST	EGR1
SALL4	EGR1
SOX2	PARP1
ESRRB	PARP1
SOX17	PARP1
NR0B1	PARP1
POU5F1	PARP1
NANOG	PARP1
MYCN	PARP1
KLF4	PARP1
REST	PARP1
SOX2	BHLHE40
ESRRB	BHLHE40
POU5F1	BHLHE40
NANOG	BHLHE40
MYCN	BHLHE40
KLF4	BHLHE40
SOX2	RUNX1
ESRRB	RUNX1
ZFP42	RUNX1
JARID2	RUNX1
MYCN	RUNX1
KLF4	RUNX1
SALL4	RUNX1
SOX2	FOXA2
ESRRB	FOXA2
POU5F1	FOXA2
NANOG	FOXA2
JARID2	FOXA2
MSC	FOXA2
MYCN	FOXA2
MYBL2	FOXA2
KLF4	FOXA2
REST	FOXA2
TCF7L2	FOXA2
SOX2	SNAI1
ESRRB	SNAI1
POU5F1	SNAI1
NANOG	SNAI1
MYCN	SNAI1
SMAD7	SNAI1
KLF4	SNAI1
TCF7L2	SNAI1
SOX2	KLF6
ESRRB	KLF6
SOX17	KLF6
POU5F1	KLF6
NANOG	KLF6
KLF4	KLF6
REST	KLF6
SALL4	KLF6
JARID2	BMP2
KLF4	BMP2
REST	BMP2
SALL4	BMP2
SOX2	CREB3
ESRRB	CREB3
NR0B1	CREB3
POU5F1	CREB3
NANOG	CREB3
KLF4	CREB3
SOX2	CARHSP1
ESRRB	CARHSP1
POU5F1	CARHSP1
KLF4	CARHSP1
REST	CARHSP1
SOX2	TGIF1
ESRRB	TGIF1
POU5F1	TGIF1
NANOG	TGIF1
JARID2	TGIF1
KLF4	TGIF1
SOX2	SIX1
POU5F1	SIX1
NANOG	SIX1
JARID2	SIX1
KLF4	SIX1
RHOX6	SIX1
SALL4	SIX1
SOX2	RARG
ESRRB	RARG
NR0B1	RARG
POU5F1	RARG
NANOG	RARG
JARID2	RARG
MYCN	RARG
KLF4	RARG
SOX2	ZBTB10
POU5F1	ZBTB10
NANOG	ZBTB10
SMAD7	ZBTB10
KLF4	ZBTB10
ZFP42	XBP1
NANOG	XBP1
MYCN	XBP1
KLF4	XBP1
SOX2	ZFHX3
