Regulator	Target
Esrrb	1500012F01Rik
Klf4	1500012F01Rik
Nanog	1500012F01Rik
Sox2	1500012F01Rik
Tcf3	1500012F01Rik
Esrrb	2410006H16Rik
Mybl2	2410006H16Rik
Sox2	2410006H16Rik
Sox2	2500004C02Rik
Sox2	2610305D13Rik
Tbx3	2610305D13Rik
Tcf3	2610305D13Rik
Nanog	2810417H13Rik
Klf4	A630089N07Rik
Tcf3	A630089N07Rik
Ezh2	AI314180
Nanog	AI314180
Sox2	AI314180
Suz12	AI314180
Tcf3	AI314180
Tcf3	AU018091
Klf4	Acaca
Nanog	Acaca
Tbx3	Acaca
Tcf3	Acaca
Zfp42	Acat2
Klf4	Acsl4
Suz12	Acsl4
Esrrb	Acta2
Klf4	Acta2
Mybl2	Acta2
Sox2	Acta2
Tcf3	Acta2
Esrrb	Actb
Klf4	Actb
Esrrb	Actg1
Klf4	Actg1
Tcf3	Actg1
Zfp42	Actg1
Esrrb	Aff1
Klf4	Aff1
Nanog	Aff1
Sox2	Aff1
Esrrb	Akap9
Klf4	Akap9
Nanog	Akap9
Sox2	Akap9
Tcf3	Akap9
Esrrb	Alg13
Klf4	Alg13
Sox2	Alg13
Tcf3	Alg13
Esrrb	Alpl
Sox2	Alpl
Tcf3	Alpl
Klf4	Als2
Esrrb	Amotl2
Klf4	Amotl2
Nanog	Amotl2
Sox2	Amotl2
Suz12	Amotl2
Tbx3	Amotl2
Tcf3	Amotl2
Esrrb	Anp32b
Klf4	Anp32b
Zfp42	Anp32b
Esrrb	Apoe
Klf4	Apoe
Nanog	Apoe
Sox2	Apoe
Klf4	Arf1
Tcf3	Arf1
Tcf3	Arf3
Esrrb	Arf4
Klf4	Arf4
Esrrb	Asns
Klf4	Asns
Nanog	Asns
Sox2	Asns
Tcf3	Asns
Suz12	BC018473
Esrrb	Basp1
Klf4	Basp1
Nanog	Basp1
Sox2	Basp1
Tbx3	Basp1
Tcf3	Basp1
Zfp42	Basp1
Esrrb	Baz1b
Klf4	Baz1b
Nanog	Baz1b
Esrrb	Baz2a
Nanog	Baz2a
Sox2	Baz2a
Nanog	Baz2b
Sox2	Baz2b
Tcf3	Baz2b
Esrrb	Bbx
Nanog	Bbx
Sox2	Bbx
Suz12	Bbx
Tbx3	Bbx
Tcf3	Bbx
Tcf3	Bcas2
Zfp42	Bcas2
Esrrb	Bcat1
Ezh2	Bcat1
Klf4	Bcat1
Nanog	Bcat1
Sox2	Bcat1
Tcf3	Bcat1
Sox2	Bend4
Suz12	Bend4
Esrrb	Bex1
Klf4	Bex1
Tcf3	Bnip3l
Klf4	Brd8
Nanog	Brd8
Sox2	Brd8
Zfp42	Brd8
Esrrb	Bzw1
Nanog	Bzw1
Sox2	Bzw2
Tcf3	Bzw2
Zfp42	Bzw2
Klf4	C330021F23Rik
Nanog	C330021F23Rik
Sox2	C330021F23Rik
Tcf3	C330021F23Rik
Ezh2	C77370
Klf4	C77370
Nanog	C77370
Sox2	C77370
Tcf3	C77370
Klf4	Cad
Tcf3	Cad
Zfp42	Cad
Esrrb	Calm1
Klf4	Calm1
Nanog	Calm1
Sox2	Calm1
Suz12	Calm1
Tcf3	Calm1
Esrrb	Calm2
Nanog	Calm2
Esrrb	Calm3
Klf4	Calm3
Nanog	Calm3
Sox2	Calm3
Tbx3	Calm3
Tcf3	Calm3
Klf4	Calr
Esrrb	Car2
Ezh2	Car2
Klf4	Car2
Nanog	Car2
Sox2	Car2
Suz12	Car2
Tbx3	Car2
Tcf3	Car2
Tcf3	Cars
Esrrb	Casc4
Sox2	Casc4
Esrrb	Cbx3
Klf4	Cbx3
Nanog	Cbx3
Sox2	Cbx3
Tcf3	Cbx3
Zfp42	Cbx3
Sox2	Ccdc36
Esrrb	Ccnd2
Ezh2	Ccnd2
Klf4	Ccnd2
Nanog	Ccnd2
Sox2	Ccnd2
Suz12	Ccnd2
Tbx3	Ccnd2
Tcf3	Ccnd2
Zfp42	Ccnd2
Esrrb	Cd24a
Ezh2	Cd24a
Klf4	Cd24a
Nanog	Cd24a
Sox2	Cd24a
Suz12	Cd24a
Tbx3	Cd24a
Tcf3	Cd24a
Esrrb	Cd38
Klf4	Cd38
Nanog	Cd38
Sox2	Cd38
Tbx3	Cd38
Tcf3	Cd38
Klf4	Cdc16
Klf4	Cdc42
Tcf3	Cdc42
Klf4	Cdc42se2
Esrrb	Cdh1
Nanog	Cdh1
Sox2	Cdh1
Tcf3	Cdh1
Ezh2	Cdh2
Klf4	Cdh2
Sox2	Cdh2
Suz12	Cdh2
Tcf3	Cdh2
Klf4	Cdk2ap1
